epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2569,1.01716,1.12906,0.79497,0.9418,0.97262,0.98464,0.77311,0.87549,0.56441,0.77922,0.000550997,0.000550997,0.000550997
2,67.3334,0.89442,0.52895,0.78209,0.9883,0.97495,0.99367,0.76476,0.83365,0.47941,0.77698,0.00109571,0.00109571,0.00109571
3,101.291,0.95112,0.5107,0.78898,0.99251,0.93392,0.97938,0.73015,0.93851,0.48236,0.78543,0.00162942,0.00162942,0.00162942
4,135.412,1.14947,0.51868,0.79655,0.97418,0.96537,0.99386,0.75344,0.90358,0.46902,0.78195,0.00161749,0.00161749,0.00161749
5,169.672,0.98704,0.47351,0.78828,0.98933,0.97738,0.99388,0.76223,0.88913,0.44926,0.7775,0.00160099,0.00160099,0.00160099
6,204.054,0.90701,0.43913,0.78704,0.99495,0.95954,0.9901,0.73981,0.96555,0.47314,0.77744,0.00158448,0.00158448,0.00158448
7,238.593,0.84938,0.42955,0.78218,0.99327,0.95258,0.98969,0.79345,0.76578,0.4128,0.77088,0.00156798,0.00156798,0.00156798
8,274.193,0.84242,0.39973,0.7818,0.99389,0.96111,0.99141,0.78133,0.84163,0.41643,0.77345,0.00155148,0.00155148,0.00155148
9,309.007,0.85642,0.39837,0.78112,0.97739,0.97619,0.9929,0.79484,0.79551,0.4061,0.77747,0.00153497,0.00153497,0.00153497
10,344.232,0.87196,0.4184,0.78022,0.98892,0.97619,0.99369,0.80354,0.75606,0.3824,0.77473,0.00151847,0.00151847,0.00151847
11,379.534,0.79746,0.38184,0.78387,0.9815,0.98413,0.99388,0.7858,0.8059,0.40607,0.77456,0.00150197,0.00150197,0.00150197
12,414.759,0.8188,0.38707,0.78158,0.97994,0.9792,0.99362,0.82295,0.72051,0.36361,0.77307,0.00148546,0.00148546,0.00148546
13,450.208,0.77092,0.36336,0.78118,0.98239,0.97738,0.99376,0.82559,0.70846,0.35873,0.7696,0.00146896,0.00146896,0.00146896
14,485.622,0.7016,0.34991,0.77759,0.9826,0.97738,0.99365,0.84382,0.6647,0.35375,0.77114,0.00145246,0.00145246,0.00145246
15,521.188,0.82621,0.38541,0.78069,0.97305,0.98702,0.99344,0.78272,0.91626,0.44225,0.77802,0.00143595,0.00143595,0.00143595
16,556.417,0.91854,0.41718,0.78589,0.98609,0.97357,0.99405,0.78021,0.8851,0.42603,0.78133,0.00141945,0.00141945,0.00141945
17,591.664,0.9795,0.4261,0.78977,0.96092,0.98869,0.99271,0.75796,0.86686,0.39406,0.77808,0.00140295,0.00140295,0.00140295
18,626.915,0.83543,0.39288,0.78007,0.9719,0.99096,0.99334,0.82612,0.76349,0.37691,0.77782,0.00138644,0.00138644,0.00138644
19,662.182,0.81122,0.38579,0.78334,0.97446,0.98056,0.99327,0.83266,0.71295,0.40452,0.77394,0.00136994,0.00136994,0.00136994
